facility_id|facility_name|facility_location|facility_phone|facility_email|facility_supervisor
16251212 5770|elementum sem, vitae|529-353 Diam. Rd.|1-387-793-9147|Nunc.lectus.pede@miacmattis.ca|Todd Mcintyre
16171016 9937|sit amet orci.|Ap #247-3624 A, Street|1-687-222-9981|arcu.Aliquam@ornareFusce.co.uk|Maite Livingston
16370211 0499|elit fermentum risus,|P.O. Box 193, 2069 Nibh St.|1-668-474-1187|Quisque.purus.sapien@velitSedmalesuada.net|Kendall Sampson
16860222 6444|Sed auctor odio|915-3490 Faucibus Avenue|1-231-232-1459|Cras@Cumsociisnatoque.net|Hamilton Norris
16250904 5809|erat. Sed nunc|8205 Nibh Ave|1-892-159-4212|elementum.at.egestas@tellussem.co.uk|Amal Valentine
16421227 3801|consequat, lectus sit|492-8664 Mattis Rd.|1-423-587-9616|nibh@Donec.org|Ora Slater
16430821 8405|mus. Aenean eget|Ap #473-6847 Tellus Av.|1-691-182-6842|semper.auctor.Mauris@luctus.ca|Lacota Hess
16600901 7408|non, lobortis quis,|P.O. Box 686, 6533 Aliquet Road|1-990-196-6864|Aliquam.tincidunt.nunc@ut.edu|Thane Swanson
16130729 8263|tellus faucibus leo,|P.O. Box 849, 5105 Eu Rd.|1-543-672-8887|eget.lacus@dictumultriciesligula.org|Keefe Cochran
16070723 5495|interdum enim non|P.O. Box 424, 2494 Amet Ave|1-310-613-8111|vel@dictum.co.uk|Ulric Harrington
16900403 8981|sed dictum eleifend,|P.O. Box 870, 7003 Lectus Av.|1-282-619-0254|Nullam.suscipit.est@feugiat.co.uk|Risa Steele
16331119 1740|consequat, lectus sit|811-9625 Augue Av.|1-777-461-0962|ipsum.primis@volutpatNulladignissim.net|Buffy Davidson
16280627 7089|Integer sem elit,|P.O. Box 586, 1881 Donec Road|1-832-132-2893|nibh@habitantmorbitristique.com|Audra Schultz
16200922 1827|Nunc ac sem|Ap #655-1195 Amet Ave|1-198-945-8771|adipiscing@quam.com|Igor Lawrence
16210909 4827|Aenean egestas hendrerit|613-9553 Amet Rd.|1-703-110-8699|eu.ultrices.sit@odioEtiamligula.org|Drew Perry
16520217 6441|ante blandit viverra.|1562 Nulla Rd.|1-660-965-1464|congue@orciluctus.net|Emerald Case
16320214 1481|orci. Ut sagittis|1285 Diam. Rd.|1-853-534-8364|cursus.et.magna@elementumloremut.co.uk|Brody Buchanan
16421214 2048|scelerisque mollis. Phasellus|Ap #588-1686 Iaculis Rd.|1-132-904-7953|montes@enimSednulla.co.uk|Orli Camacho
16350510 5670|aliquet magna a|9947 Dictum Rd.|1-768-907-5653|enim@enimmitempor.com|Megan Hatfield
16870319 3931|neque sed dictum|670-9433 Tristique Rd.|1-208-453-2083|Maecenas@rutrumurnanec.edu|Daryl Duran
16631025 2322|feugiat placerat velit.|6879 Libero Street|1-771-428-2757|In@hendrerit.ca|Marcia May
